key,section,cs,en,uk,cs_web_suggested,en_web_suggested,notes_for_translator
multiStepComplete,Add property steps & texts,Dokončit,Complete,,,,
multiStepNext,Add property steps & texts,Další,Next,,,,
multiStepSkip,Add property steps & texts,Přeskočit,Skip,,,,
myHaircutsAddNewA11y,My haircuts,Přidat nový styl,Add new style,,,,
myHaircutsBadgeFirst,My haircuts,Můj první účes,My first haircut,,,,
myHaircutsBadgeNewest,My haircuts,Můj nový účes,My newest haircut,,,,
myHaircutsCreate,My haircuts,Vytvořte si vlastní styl,Create your own style,,,,
myHaircutsEmpty,My haircuts,Zatím nemáte uložený styl. Vytvořte si ho níže.,No saved styles yet. Create one below.,,,,
myHaircutsLoadError,My haircuts,Střihy se nepodařilo načíst.,Could not load haircuts.,,,,
myHaircutsLoginToSee,My haircuts,Pro zobrazení uložených stylů se přihlaste.,Log in to see your saved styles.,,,,
myHaircutsWhatsFor,My haircuts,K čemu to je?,What's it for?,,,,
myHaircutsYours,My haircuts,Vaše styly,Your styles,,,,
navBookings,Bottom navigation (tab bar),Rezervace,Bookings,,,,
navCalendar,Bottom navigation (tab bar),Kalendář,Calendar,,,,
navFavorites,Bottom navigation (tab bar),Oblíbené,Favorites,,,,
navHome,Bottom navigation (tab bar),Domů,Home,,,,
navListings,Bottom navigation (tab bar),Inzeráty,Listings,,,,
navMessages,Bottom navigation (tab bar),Zprávy,Messages,,,,
navProfile,Bottom navigation (tab bar),Profil,Profile,,,,
nearestBranchCta,Real Barber home screen,Blízko mě,Near me,,,,
nearestBranchFailed,Real Barber home screen,Nejbližší pobočku se teď nepodařilo určit.,We could not determine the nearest branch right now.,,,,
nearestBranchFindCta,Real Barber home screen,Blízko mě,Near me,,,,
nearestBranchHomeNearestLine,Real Barber home screen,Nejbližší: {details},Nearest: {details},,,,
nearestBranchHomeYou,Real Barber home screen,Vy / {location},You / {location},,,,
nearestBranchHomeYouFallback,Real Barber home screen,Vy,You,,,,
nearestBranchHoursHint,Real Barber home screen,Zobrazit otevírací dobu,Show opening hours,,,,
nearestBranchHoursTooltipTitle,Real Barber home screen,Otevírací doba:,Opening hours:,,,,
nearestBranchHoursWeekdays,Real Barber home screen,Po–Pá: 09:00–21:00,Mon–Fri: 09:00–21:00,,,,
nearestBranchHoursWeekend,Real Barber home screen,So–Ne: 10:00–18:00,Sat–Sun: 10:00–18:00,,,,
nearestBranchLoading,Real Barber home screen,Hledám nejbližší pobočku…,Finding nearest branch…,,,,
nearestBranchOpen,Real Barber home screen,Otevřít,Open,,,,
nearestBranchSlotsEmpty,Real Barber home screen,Momentálně nemáme volné termíny na této pobočce.,No available slots at this branch right now.,,,,
nearestBranchSlotsTitle,Real Barber home screen,Nejbližší volné termíny,Nearest available slots,,,,
nearestBranchStatusClosed,Real Barber home screen,Zavřeno,Closed,,,,
nearestBranchStatusClosingSoon,Real Barber home screen,Za chvíli zavírá,Closing soon,,,,
nearestBranchStatusOpen,Real Barber home screen,Otevřeno,Open,,,,
nearestBranchStatusOpeningSoon,Real Barber home screen,Za chvíli otevírá,Opening soon,,,,
nearestBranchTravelBicycle,Real Barber home screen,{minutes} min na kole,{minutes} min by bike,,,,
nearestBranchTravelDrive,Real Barber home screen,{minutes} min autem,{minutes} min by car,,,,
nearestBranchTravelFromYou,Real Barber home screen,Od vás {distance},{distance} from you,,,,
nearestBranchTravelTrafficSuffix,Real Barber home screen, · dle aktuálního provozu, · based on current traffic,,,,
nearestBranchTravelWalk,Real Barber home screen,{minutes} min pěšky,{minutes} min on foot,,,,
nearestBranchUnavailable,Real Barber home screen,Polohu se nepodařilo získat. Zkuste to znovu později.,Could not get your location. Please try again later.,,,,
notFoundBackToHome,404,Zpět na úvod,Back to Home,,,,
notifSettingsBookingTravel,Profile notifications settings,Rezervace a cesty,Booking & Travel,,,,
notifSettingsBookingUpdates,Profile notifications settings,Aktualizace rezervací,Booking Updates,,,,
notifSettingsCheckinReminders,Profile notifications settings,Připomínky check-inu,Check-in Reminders,,,,
notifSettingsHostMessages,Profile notifications settings,Zprávy od hostitele,Host Messages,,,,
notifSettingsHostPromotions,Profile notifications settings,Akce hostitele,Host Promotions,,,,
notifSettingsMarketingEmails,Profile notifications settings,Marketingové e-maily,Marketing Emails,,,,
notifSettingsPaymentConfirmations,Profile notifications settings,Potvrzení platby,Payment Confirmations,,,,
notifSettingsPromotionsMarketing,Profile notifications settings,Akce a marketing,Promotions & Marketing,,,,
notifSettingsReviewRequests,Profile notifications settings,Žádosti o recenzi,Review Requests,,,,
notifSettingsSpecialOffers,Profile notifications settings,Speciální nabídky,Special Offers,,,,
notifSettingsTravelTips,Profile notifications settings,Cestovní tipy,Travel Tips,,,,
notifTestLocalButton,Profile notifications settings,Test notifikace,Test notification,,,,
notifTestLocalNotifBody,Profile notifications settings,Test lokální notifikace — OK,Local test notification — OK,,,,
notifTestLocalNotifTitle,Profile notifications settings,Real Barber,Real Barber,,,,
notifTestLocalPermissionMessage,Profile notifications settings,Povolte oznámení v nastavení systému.,Allow notifications in system settings.,,,,
notifTestLocalPermissionTitle,Profile notifications settings,Oznámení,Notifications,,,,
notifTestLocalSectionTitle,Profile notifications settings,Test notifikace,Test notification,,,,
notifTestLocalUnsupported,Profile notifications settings,Na této platformě není k dispozici.,Not available on this platform.,,,,
notificationsAll,Notifications,Vše,All,,,,
notificationsBookings,Notifications,Rezervace,Bookings,,,,
notificationsCancellations,Notifications,Zrušení,Cancellations,,,,
notificationsDetailEmptyBody,Notifications,Bez dalšího textu.,No additional text.,,,,
notificationsHistoryTitle,Notifications,Historie notifikací,Notification history,,,,
notificationsInquiries,Notifications,Dotazy,Inquiries,,,,
notificationsLeaveReview,Notifications,Napsat recenzi,Leave a review,,,,
notificationsLoadMore,Notifications,Načíst další,Load more,,,,
notificationsMarketing,Notifications,Marketing,Marketing,,,,
notificationsMessages,Notifications,Zprávy,Messages,,,,
notificationsNoFound,Notifications,Žádná oznámení,No notifications found,,,,
notificationsPayments,Notifications,Platby,Payments,,,,
notificationsReviews,Notifications,Recenze,Reviews,,,,
notificationsSubtitle,Notifications,Mějte přehled o rezervacích a cestách,Stay updated on your bookings and travel plans,,,,
notificationsTitle,Notifications,Oznámení,Notifications,,,,
notificationsUnreadSubtitle,Notifications,{{count}} nezobrazených,{{count}} unread,,,,
notificationsViewTransaction,Notifications,Zobrazit transakci,View transaction,,,,
operatorCallUsTitle,Help,Zavolejte nám,Call us,,,,
operatorContactPhone,Help,Telefon,Phone,,,,
operatorContactTelegram,Help,Telegram,Telegram,,,,
operatorContactWhatsApp,Help,WhatsApp,WhatsApp,,,,
operatorFabAccessibility,Help,Kontaktovat podporu,Contact support,,,,
operatorSheetDisableBefore,Help,"""Pokud vás ruším, ""","""If I'm in your way, """,,,,
operatorSheetDisableLink,Help,vypněte si mě v Nastavení funkcí,turn me off in Feature settings,,,,
operatorSheetTitle,Help,Kontaktovat podporu,Contact support,,,,
orderCancellationPolicy,Order detail,Storno podmínky,Cancellation policy,,,,
orderChange,Order detail,Změnit,Change,,,,
orderChooseHowToPay,Order detail,Vyberte způsob platby,Choose how to pay,,,,
orderConfirmAndPay,Order detail,Potvrdit a zaplatit,Confirm and pay,,,,
orderPriceDetails,Order detail,Cenové detaily,Price details,,,,
orderYourTrip,Order detail,Vaše cesta,Your trip,,,,
paymentMethodCard,Trip detail / Booking detail,Kartou,Card,,,,
paymentMethodCash,Trip detail / Booking detail,Hotovost,Cash,,,,
paymentMethodRbc,Trip detail / Booking detail,RB coiny,RB coins,,,,
paymentsAddCard,Payments,Přidat novou kartu,Add New Card,,,,
paymentsApplePay,Payments (extra),Apple Pay,Apple Pay,,,,
paymentsApplePaySetup,Payments (extra),Nastavte Apple Pay pro rychlejší platby,Set up Apple Pay for faster checkout,,,,
paymentsCancel,Payments (extra),Zrušit,Cancel,,,,
paymentsCardNumber,Payments,Číslo karty,Card Number,,,,
paymentsCardholder,Payments,Jméno držitele,Cardholder Name,,,,
paymentsCvv,Payments (extra),CVC,CVV,,,,
paymentsDigitalWallets,Payments,Digitální peněženky,Digital Wallets,,,,
paymentsExpiry,Payments,Datum expirace,Expiry Date,,,,
paymentsGooglePay,Payments (extra),Google Pay,Google Pay,,,,
paymentsGooglePaySetup,Payments (extra),Nastavte Google Pay pro rychlejší platby,Set up Google Pay for faster checkout,,,,
paymentsSaveCard,Payments (extra),Uložit kartu,Save Card,,,,
paymentsSetAsDefault,Payments (extra),Nastavit jako výchozí platební metodu,Set as default payment method,,,,
paymentsSetDefault,Payments,Nastavit jako výchozí platební metodu,Set as default payment method,,,,
paymentsTitle,Payments,Platební metody,Payment Methods,,,,
paymentsYourCards,Payments,Vaše karty,Your cards,,,,
permissionAllowLocation,Permissions,Povolit přístup k poloze,Allow Location Access,,,,
permissionAllowNotifications,Permissions,Povolit upozornění,Allow Notifications,,,,
permissionSkipForNow,Permissions,Teď ne,Skip for Now,,,,
phoneCallFeedbackReason_callRejected,Help,Hovor mi byl odmítnut,Call was rejected,,,,
phoneCallFeedbackReason_inflexible,Help,Nechtěl mi vyhovět,Would not accommodate me,,,,
phoneCallFeedbackReason_language,Help,Jazyková bariéra,Language barrier,,,,
phoneCallFeedbackReason_lineBusy,Help,Linka byla obsazena,Line was busy,,,,
phoneCallFeedbackReason_longWait,Help,Dlouhé čekání,Long wait,,,,
phoneCallFeedbackReason_noBookingHelp,Help,Neuměl poradit s rezervací,Could not help with booking,,,,
phoneCallFeedbackReason_other,Help,Jiné,Other,,,,
phoneCallFeedbackReason_rushed,Help,Spěchal / odbyl mě,Rushed / brushed me off,,,,
phoneCallFeedbackReason_unpleasant,Help,Nepříjemný,Unpleasant,,,,
phoneCallFeedbackReason_unreachable,Help,Nedovolal jsem se,Could not get through,,,,
phoneCallFeedbackReason_wrongInfo,Help,Špatné informace,Wrong information,,,,
phoneCallFeedbackReasonsSubtitle,Help,Co bylo špatně?,What went wrong?,,,,
phoneCallFeedbackSubmit,Help,Odeslat,Submit,,,,
phoneCallFeedbackTitle,Help,Jak hodnotíte hovor s operátorem?,How would you rate your call with our operator?,,,,
phoneCountrySearchEmpty,Auth,Nic nenalezeno.,Nothing found.,,,,
phoneCountrySearchPlaceholder,Auth,Zadejte zemi nebo předvolbu,Enter country or dial code,,,,
phoneCountrySheetTitle,Auth,Vyberte předvolbu,Select dial code,,,,
popularBarbershops,Common,Oblíbené holičství v Praze,Popular barbershops in Prague,,,,
productAvailability,Product detail,Dostupnost,Availability,,,,
productBuy,Product detail,Koupit,Buy,,,,
productBuyerReviews,Product detail,Recenze kupujících,Buyer reviews,,,,
productCatalogFlags,Product detail,Štítky,Labels,,,,
productDetails,Product detail,Detaily produktu,Product details,,,,
productEdit,Product detail,Upravit,Edit,,,,
productNapsatRecenzi,Product detail,Napsat recenzi,Napsat recenzi,,,,
productPiecesAbbr,Product detail,ks,pcs,,,,
productPricePerProduct,Product detail,za produkt,per product,,,,
productPurchaseCashback,Product detail,Cashback,Cashback,,,,
productPurchaseCashbackPaid,Product detail,Vyplaceno,Paid out,,,,
productPurchaseCashbackPending,Product detail,Zatím nevyplaceno,Not paid out yet,,,,
productPurchaseCashbackStatus,Product detail,Výplata cashbacku,Cashback payout,,,,
productPurchaseDate,Product detail,Datum nákupu,Purchase date,,,,
productPurchaseInfoP1,Product detail,Na přímém online prodeji produktů právě pracujeme.,We’re working on direct online sales of products.,,,,
productPurchaseInfoThanks,Product detail,"""Děkujeme, že jste s námi.""",Thank you for being with us.,,,,
productPurchaseInfoTitle,Product detail,Online nákup produktů,Buying products online,,,,
productPurchaseNotes,Product detail,Poznámka,Notes,,,,
productPurchaseQuantity,Product detail,Počet kusů,Quantity,,,,
productPurchaseTotal,Product detail,Celkem zaplaceno,Total paid,,,,
productPurchaseUnitPrice,Product detail,Cena za kus,Unit price,,,,
productRecenzovat,Product detail,Recenzovat,Recenzovat,,,,
productReviewAuthorAnonymous,Product detail,Anonymní,Anonymous,,,,
productReviewsCount,Product detail,recenzí,reviews,,,,
productSeller,Product detail,Prodejce,Seller,,,,
productShareDialogTitle,Product detail,Real Barber,Real Barber,,,,
productShareIntroRealBarber,Product detail,"""Podívej se, co mají v Real Barberu:""",See what they have at Real Barber:,,,,
productSharePickupWarehouse,Product detail,Sklad / vyzvednutí,Pickup warehouse,,,,
productSharePrice,Product detail,Cena,Price,,,,
productSharePrimaryImage,Product detail,Zde máš obrázek jak to vypadá,Here's what it looks like,,,,
productSharePurchaseQuantity,Product detail,Množství,Quantity,,,,
productSku,Product detail,SKU,SKU,,,,
productStock,Product detail,Počet na skladě,Stock quantity,,,,
productStockByWarehouse,Product detail,Stav na skladech,Stock by warehouse,,,,
productWarehouseMapHint,Product detail,Zobrazit na mapě,Show on map,,,,
productWarehouseOpenMap,Product detail,Otevřít adresu skladu na mapě,Open warehouse address on map,,,,
productsCatalogEmpty,Products (home),Žádné produkty v katalogu.,No products in the catalog.,,,,
productsCatalogInStock,Products (home),Skladem,In stock,,,,
productsCatalogOutOfStock,Products (home),Není skladem,Out of stock,,,,
productsCatalogOutOfStockBadge,Products (home),NENÍ SKLADEM,OUT OF STOCK,,,,
productsGiftsEmpty,Products (home),V katalogu dárků zatím nic není.,No gift items in the catalog.,,,,
productsGiftsTitle,Products (home),Dárky,Gifts,,,,
productsMyPurchased,Products (home),Moje zakoupené produkty,My purchased products,,,,
productsNoPurchased,Products (home),Žádné zakoupené produkty.,No purchased products.,,,,
productsPromoSubtitle,Products (home),Vybrané přípravky a styling pro váš účes.,Selected styling and care products for your look.,,,,
productsPromoSubtitle2,Products (home),Nejnovější přípravky a limited edice.,Latest products and limited editions.,,,,
productsPromoSubtitle3,Products (home),Aktuální slevy na vybrané produkty.,Current discounts on selected products.,,,,
productsPromoSubtitle4,Products (home),Kombinované sady produktů s výhodnou cenou.,Product bundles at a better price.,,,,
productsPromoSubtitle5,Products (home),Produkty doporučené pro vás na základě nákupů.,Products recommended for you based on your purchases.,,,,
productsPromoTitle,Products (home),Doporučené produkty,Recommended products,,,,
productsPromoTitle2,Products (home),Novinky,New arrivals,,,,
productsPromoTitle3,Products (home),Slevy,Deals,,,,
productsPromoTitle4,Products (home),Dárkové sady,Gift sets,,,,
productsPromoTitle5,Products (home),Doporučené,Recommended,,,,
productsTitle,Products (home),Produkty,Products,,,,
profileAccountSettings,Profile,Nastavení účtu,Account settings,,,,
profileAppLanguage,Profile,Jazyk aplikace,App language,,,,
profileAppVersionLabel,Profile,Verze aplikace,App version,,,,
profileAppearanceDarkMode,Profile,Tmavý režim,Dark mode,,,,
profileAppearanceLightMode,Profile,Světlý režim,Light mode,,,,
profileCompletionAddressTitle,Profile,Adresa,Address,,,,
profileCompletionAvatarTitle,Profile,Profilová fotka,Profile photo,,,,
profileCompletionBirthdayTitle,Profile,Datum narození,Date of birth,,,,
profileCompletionCta,Profile,Doplnit,Complete,,,,
profileCompletionDismiss,Profile,Teď ne,Not now,,,,
profileCompletionEmailTitle,Profile,E-mail,Email,,,,
profileContactFormEmail,Profile,E-mail,Email,,,,
profileContactFormHint,Profile,Formulář brzy spustíme — zatím bez odeslání.,We will launch the form soon — sending is not available yet.,,,,
profileContactFormMessage,Profile,Zpráva,Message,,,,
profileContactFormName,Profile,Jméno,Name,,,,
profileContactFormSubmit,Profile,Odeslat,Send,,,,
profileContactFormTitle,Profile,Kontaktní formulář,Contact form,,,,
profileContactsForm,Profile,Kontaktní formulář,Contact form,,,,
profileContactsLocations,Profile,Provozovny,Locations,,,,
profileContactsPhone,Profile,Telefonický kontakt,Phone contact,,,,
profileContactsPrivacy,Profile,Ochrana údajů a podmínky,Privacy policy and terms,,,,
profileContactsSectionTitle,Profile,Kontakty,Contacts,,,,
profileContactsShare,Profile,Sdílet realbarber.cz,Share realbarber.cz,,,,
profileCreateListing,Profile,Vytvořit nový inzerát,Create new listing,,,,
profileCustomerStatus,Profile,Status zákazníka,Customer status,,,,
profileEarnings,Profile,Výdělky,Earnings,,,,
profileEditProfile,Profile,Upravit profil,Edit profile,,,,
profileFeatureHaptics,Profile,Haptická odezva,Haptic feedback,,,,
profileFeatureHapticsDesc,Profile,Vibrace při klepnutí na tlačítka a přepínání,Vibration when tapping buttons and toggles,,,,
profileFeatureOperator,Profile,Operátor podpory,Support operator,,,,
profileFeatureOperatorDesc,Profile,Zobrazit plovoucí tlačítko pro rychlý kontakt s podporou,Show the floating button for quick contact with support,,,,
profileFeatureSettings,Profile,Nastavení funkcí,Feature settings,,,,
profileFeatureSettingsDesc,Profile,Operátor podpory a další volitelné funkce,Support operator and other optional features,,,,
profileFeatureSettingsSubtitle,Profile,Volitelné funkce aplikace,Optional app features,,,,
profileGetHelp,Profile,Nápověda,Get help,,,,
profileGetStarted,Profile,Začít,Get started,,,,
profileGuest,Profile,Host,Guest,,,,
profileInsights,Profile,Přehledy,Insights,,,,
profileLogout,Profile,Odhlásit se,Logout,,,,
profileMemberDays,Profile,Členem (dní),Member for (days),,,,
profileMemberDaysFirstDay,Profile,První den,First day,,,,
profileMenuAria,Service / Barber detail,Další akce,More actions,,,,
profileMyReservations,Profile,Moje rezervace,My reservations,,,,
profileNewToHosting,Profile,Nový v hostování?,New to hosting?,,,,
profileNewToHostingDesc,Profile,"""Zjistěte, jak začít hostit a vydělat si navíc""",Discover how to start hosting and earn extra income,,,,
profileNotificationHistory,Profile,Historie notifikací,Notification history,,,,
profileReferrals,Profile,Doporučení,Referrals,,,,
profileReservations,Profile,Rezervace,Reservations,,,,
profileReviews,Profile,Recenze,Reviews,,,,
rbcBack,RBC,Zpět,Back,,,,
rbcCardDesign,RBC,Design karty,Card design,,,,
rbcCardDesigns,RBC,Designy karet,Card designs,,,,
rbcCardTitle,RBC,RBC karta,RBC Card,,,,
rbcCashback,RBC,Cashback,Cashback,,,,
rbcDayBeforeYesterday,RBC,Předevčírem,Day before yesterday,,,,
rbcDesign,RBC,Design,Design,,,,
rbcGiftCardCreated,RBC,Dárková karta vytvořena,Gift card created,,,,
rbcHideDetails,RBC,Skrýt údaje,Hide details,,,,
rbcHistory,RBC,Historie,History,,,,
rbcNoTransactions,RBC,Žádné transakce,No transactions,,,,
rbcSend,RBC,Odeslat,Send,,,,
rbcShowDetails,RBC,Zobrazit údaje,Show details,,,,
rbcToday,RBC,Dnes,Today,,,,
rbcTransactionHistory,RBC,Historie transakcí,Transaction history,,,,
rbcUseThisDesign,RBC,Použít tento design,Use this design,,,,
rbcYesterday,RBC,Včera,Yesterday,,,,
rbcYourBalance,RBC,Váš zůstatek,Your balance,,,,
referralAttributionLead,Referral program detail,Lead,Lead,,,,
referralAttributionNotFound,Referral program detail,Pozvánku se nepodařilo najít.,Invite not found.,,,,
referralAttributionPhone,Referral program detail,Telefon,Phone,,,,
referralAttributionStatus,Referral program detail,Stav,Status,,,,
referralAttributionTimeline,Referral program detail,Průběh,Timeline,,,,
referralAttributionTitle,Referral program detail,Pozvánka,Invite,,,,
referralChecklistAccepted,Referral program detail,Přijal pozvání,Accepted invite,,,,
referralChecklistPaid,Referral program detail,Zaplatil za služby,Paid for services,,,,
referralChecklistPaired,Referral program detail,Stáhl aplikaci,Installed the app,,,,
referralInviteDetailTitle,Referral program detail,Detail pozvání,Invite detail,,,,
referralInviteHeadlineLimitReached,Referral program detail,"""Splněno, ale limit programu je vyčerpaný""","""Completed, but program limit reached""",,,,
referralInviteHeadlinePending,Referral program detail,Pozvánka je v procesu,Invite is in progress,,,,
referralInviteHeadlineQualified,Referral program detail,"""Splněno, čeká se na odměnu""","""Qualified, waiting for reward""",,,,
referralInviteHeadlineRewarded,Referral program detail,"""Hotovo, odměna připsána""","""Completed, reward credited""",,,,
referralInviteInvitedOn,Referral program detail,Pozváno:,Invited:,,,,
referralInviteLeadPhoneEntered,Referral program detail,Zadal telefon na odkazu,Phone entered on the link,,,,
referralInviteName,Referral program detail,Jméno,Name,,,,
referralInviteNextStep,Referral program detail,Další krok,Next step,,,,
referralInviteNotFound,Referral program detail,Pozvání se nepodařilo najít.,Invite not found.,,,,
referralInvitePercentage,Referral program detail,Hotovo,Done,,,,
referralInvitePerson,Referral program detail,Pozvaný,Invitee,,,,
referralInviteProgress,Referral program detail,Průběh,Progress,,,,
referralInviteStatus,Referral program detail,Stav,Status,,,,
referralInviteStatusInProgress,Referral program detail,V procesu,In progress,,,,
referralInviteStatusPending,Referral program detail,V procesu,In progress,,,,
referralInviteStatusQualified,Referral program detail,Splněno,Qualified,,,,
referralInviteStatusRewarded,Referral program detail,Odměna připsána,Rewarded,,,,
referralInviteSteps,Referral program detail,Kroky,Steps,,,,
referralInviteTimeline,Referral program detail,Průběh pozvání,Invite timeline,,,,
referralInvitesEmpty,Referral program detail,Zatím nemáte žádné pozvánky v tomto programu.,You have no invites in this program yet.,,,,
referralInvitesSection,Referral program detail,Pozvaní,Invited,,,,
referralInvitesTitle,Referral program detail,Průběh pozvání,Invite progress,,,,
referralProgramDetails,Referral program detail,Detail programu,Program details,,,,
referralProgramJoin,Referral program detail,Zapojit do programu,Join program,,,,
referralProgramMinPurchase,Referral program detail,Minimální nákup,Minimum purchase,,,,
referralProgramNotFound,Referral program detail,Program se nepodařilo najít.,Program not found.,,,,
referralProgramRefereeReward,Referral program detail,Odměna pro doporučeného,Reward for referred friend,,,,
referralProgramReferrerReward,Referral program detail,Odměna za doporučení,Reward for referring,,,,
referralProgramRegenerate,Referral program detail,Vygenerovat nový kód,Generate a new code,,,,
referralProgramTitle,Referral program detail,Doporučovací program,Referral program,,,,
referralProgramTrackInvites,Referral program detail,Průběh pozvání,Invite progress,,,,
referralProgramValidUntil,Referral program detail,Platné do,Valid until,,,,
referralProgramYourCode,Referral program detail,Váš referral kód,Your referral code,,,,
referralRewardAmount,Referral program detail,Odměna,Reward,,,,
referralRewardStatusLine,Referral program detail,Stav: {status},Status: {status},,,,
referralRewardedAt,Referral program detail,Připsáno,Credited at,,,,
referralSpendLine,Referral program detail,Aktuálně utraceno {spent} z {required} (zbývá {remaining}),Spent {spent} of {required} (remaining {remaining}),,,,
referralSpendSince,Referral program detail,Počítá se od,Counting since,,,,
referralStepPairedInApp,Referral program detail,Spárováno v aplikaci (přihlášení/registrace),Paired in the app (login/registration),,,,
referralStepPhoneEntered,Referral program detail,Zadal telefon na odkazu,Phone entered on the link,,,,
referralStepReward,Referral program detail,Odměna,Reward,,,,
referralStepSpendProgress,Referral program detail,Plnění podmínky nákupu,Purchase progress,,,,
referralsFriends,Referrals,přátel,friends,,,,
referralsInviteFriends,Referrals,Pozvat přátele,Invite friends,,,,
referralsInvited,Referrals,Pozvali jste,You've invited,,,,
referralsInvitedList,Referrals,Pozvaní,Invited,,,,
referralsShareLink,Referrals,Sdílet odkaz na pozvánku,Share invite link,,,,
rescheduleConfirm,Trip detail,Potvrdit přesunutí okamžitě,Confirm reschedule now,,,,
rescheduleContinue,Trip detail,Pokračovat na shrnutí,Continue to summary,,,,
rescheduleCurrentTimeHeading,Trip detail,Současný termín,Current time slot,,,,
rescheduleCurrentTitle,Trip detail,Současná rezervace,Current booking,,,,
rescheduleIntro,Trip detail,"""Zvolte nový datum a čas. Pobočka, služba i holič se nemění.""","""Pick a new date and time. The branch, service, and barber stay the same.""",,,,
rescheduleLoadError,Trip detail,Nepodařilo se načíst rezervaci,Could not load booking,,,,
rescheduleNoChange,Trip detail,Nejdřív změňte datum nebo čas.,Change the date or time first.,,,,
rescheduleNoSlot,Trip detail,Vyberte časový slot,Select a time slot,,,,
rescheduleNotFound,Trip detail,Rezervace nenalezena,Booking not found,,,,
reschedulePickTitle,Trip detail,Nový termín,New date & time,,,,
reschedulePlaceholder,Trip detail,Výběr nového termínu bude brzy k dispozici.,Choosing a new date and time will be available soon.,,,,
rescheduleSave,Trip detail,Uložit nový termín,Save new time,,,,
rescheduleSaving,Trip detail,Ukládám…,Saving…,,,,
rescheduleSummarySubtitle,Trip detail,Zkontrolujte nový termín a potvrďte změnu.,Review the new time and confirm the update.,,,,
rescheduleSummaryTitle,Trip detail,Shrnutí přesunutí rezervace,Reschedule summary,,,,
rescheduleTitle,Trip detail,Přesunout rezervaci,Reschedule,,,,
reservationAfternoon,Reservation create flow,Odpoledne,Afternoon,,,,
reservationAnyEmployee,Reservation create flow,Kdokoliv je k dispozici,Anyone available,,,,
reservationAvailableTimes,Reservation create flow,Dostupné časy,Available times,,,,
reservationAvailableTimesSubtitle,Reservation create flow,Vyberte volný čas z dostupných termínů.,Pick a free slot from the available appointments.,,,,
reservationContactEmail,Reservation create flow,E-mail,Email,,,,
reservationContactFirstName,Reservation create flow,Jméno,First name,,,,
reservationContactLastName,Reservation create flow,Příjmení,Last name,,,,
reservationContactMarketing,Reservation create flow,Souhlasím s marketingovou komunikací,I agree to marketing communications,,,,
reservationContactNotes,Reservation create flow,Poznámka,Notes,,,,
reservationContactOtpLabel,Reservation create flow,Kód z SMS,SMS code,,,,
reservationContactPhone,Reservation create flow,Telefon,Phone,,,,
reservationContactSubmit,Reservation create flow,Potvrdit rezervaci,Confirm booking,,,,
reservationCouponDiscount,Reservation create flow,Sleva,Discount,,,,
reservationCouponEmpty,Reservation create flow,Zadejte slevový kód.,Enter a promo code.,,,,
reservationCouponFinalPrice,Reservation create flow,Celkem,You pay,,,,
reservationCouponIncompleteSelection,Reservation create flow,"""Nejdřív vyberte pobočku, službu a mistra.""","""Choose branch, service and barber first.""",,,,
reservationCouponOriginalPrice,Reservation create flow,Základní cena,Original price,,,,
reservationCouponPlaceholder,Reservation create flow,KÓD10,SAVE10,,,,
reservationCouponSectionTitle,Reservation create flow,Slevový kód,Promo code,,,,
reservationCouponVerify,Reservation create flow,Ověřit,Verify,,,,
reservationCouponVerifyFailed,Reservation create flow,Kód se nepodařilo ověřit.,Could not verify the code.,,,,
reservationCreating,Reservation create flow,Vytvářím rezervaci…,Creating booking…,,,,
reservationCurrencySuffix,Reservation create flow,Kč,CZK,,,,
reservationDayAfterTomorrow,Reservation create flow,Pozítří,Day after tomorrow,,,,
reservationEmployeeNearestFreeSlotLabel,Reservation create flow,Nejbližší volný termín,Next free slot,,,,
reservationEmployeeNearestLoading,Reservation create flow,…,…,,,,
reservationEmployeeNoNearestSlot,Reservation create flow,Bez volného termínu,No free slot,,,,
reservationErrorEmail,Reservation create flow,Vyplňte e-mail.,Enter your email.,,,,
reservationErrorEmailInvalid,Reservation create flow,Zadejte platný e-mail.,Enter a valid email.,,,,
reservationErrorFirstName,Reservation create flow,Vyplňte jméno.,Enter your first name.,,,,
reservationErrorGeneric,Reservation create flow,Rezervaci se nepodařilo vytvořit. Zkuste to znovu.,Could not create the booking. Please try again.,,,,
reservationErrorLastName,Reservation create flow,Vyplňte příjmení.,Enter your last name.,,,,
reservationErrorPhone,Reservation create flow,Vyplňte telefon.,Enter your phone number.,,,,
reservationErrorRateLimit,Reservation create flow,Příliš mnoho pokusů. Zkuste to později.,Too many attempts. Please try again later.,,,,
reservationErrorSlotTaken,Reservation create flow,Termín mezitím obsadil někdo jiný. Vyberte jiný čas.,This slot was just taken. Please choose another time.,,,,
reservationEvening,Reservation create flow,Večer,Evening,,,,
reservationMore,Reservation create flow,Více,More,,,,
reservationMorning,Reservation create flow,Ráno,Morning,,,,
reservationNearestSlotAt,Reservation create flow,v,at,,,,
reservationNoBarbers,Reservation create flow,Pro pobočku nejsou dostupní žádní barbeři.,No barbers are available for this branch.,,,,
reservationNoServices,Reservation create flow,Pro vybraného barbera nejsou dostupné žádné služby.,No services are available for this barber.,,,,
reservationNoSlotsMonth,Reservation create flow,V tomto měsíci nejsou žádné volné termíny.,No available slots this month.,,,,
reservationNoSlotsSelection,Reservation create flow,Pro vybrané parametry nejsou dostupné žádné termíny.,No time slots are available for the selected options.,,,,
reservationPriceFromPrefix,Reservation create flow,od,from,,,,
